"Time","Total","sum(container_network_transmit_packets_total{job=""machinesComb"",name!=""cadvisor"",name!=""explorer"",name!=""explorerdb"",name=~"".*-peer.*"",name!~"".*-couch.*""})","Orderers","Couchdb"
2024-06-23 23:58:15,2414015591,28739,7545,1041
2024-06-23 23:58:30,2414107080,33453,8763,2121
2024-06-23 23:58:45,2415172116,66015,21454,5526
2024-06-23 23:59:00,2415825412,85933,28371,8097
2024-06-23 23:59:15,2416997642,129382,41664,13282
2024-06-23 23:59:30,2417643371,150023,48147,16556
2024-06-23 23:59:45,2418786633,190595,62048,20963
2024-06-24 00:00:00,2419447544,218051,69212,24337
2024-06-24 00:00:15,2420582595,253021,81692,28945
2024-06-24 00:00:30,2421231187,273000,89604,32205
2024-06-24 00:00:45,2422378066,314072,101753,36551
2024-06-24 00:01:00,2423028871,334375,108356,39038
2024-06-24 00:01:15,2424189486,376970,121291,44201
2024-06-24 00:01:30,2424960728,402548,128483,48410
2024-06-24 00:01:45,2426014316,439145,140902,52048
2024-06-24 00:02:00,2426739319,459211,147841,55282
2024-06-24 00:02:15,2427826031,501157,160335,59595
2024-06-24 00:02:30,2428475770,524917,167366,62169
2024-06-24 00:02:45,2428733942,531641,169659,63350
2024-06-24 00:03:00,2428783428,532131,170083,63377
2024-06-24 00:03:15,2428854278,532798,170931,63413
2024-06-24 00:03:30,2428901861,533117,171319,63458