"Time","machine69","machine70","Total","machine77"
2024-04-19 19:15:00,73.5,78.2,196,48.3
2024-04-19 19:15:15,71.7,79.2,199,48.4
2024-04-19 19:15:30,71.8,79.2,200,49.2
2024-04-19 19:15:45,70.3,80.4,200,50.0
2024-04-19 19:16:00,81.2,80.3,211,49.5
2024-04-19 19:16:15,85.1,81.2,215,49.7
2024-04-19 19:16:30,89.9,81.4,221,49.7
2024-04-19 19:16:45,93.2,83.4,228,51.7
2024-04-19 19:17:00,92.6,84.3,230,52.8
2024-04-19 19:17:15,90.8,84.1,229,53.9
2024-04-19 19:17:30,88.8,82.3,227,53.7
2024-04-19 19:17:45,74.4,64.9,183,44.0
2024-04-19 19:18:00,48.6,43.4,124,30.4